Species,Lifestyle,Accession number,Host species,Label
Mycobacterium virus Tortellini,Temperate,NC_041888,Mycolicibacterium smegmatis,0
Mycobacterium virus Jebeks,Temperate,NC_041969,Mycolicibacterium smegmatis,0
Mycobacterium virus Bongo,Temperate,NC_041970,Mycolicibacterium smegmatis,0
Mycobacterium virus Rey,Temperate,NC_041971,Mycolicibacterium smegmatis,0
Mycobacterium virus Twister,Temperate,NC_041982,Mycolicibacterium smegmatis,0
Mycobacterium virus Timshel,Temperate,NC_041983,Mycolicibacterium smegmatis,0
Mycobacterium virus Tiger,Temperate,NC_041984,Mycolicibacterium smegmatis,0
Mycobacterium virus Switzer,Temperate,NC_041985,Mycolicibacterium smegmatis,0
Mycobacterium virus Spartacus,Temperate,NC_041986,Mycolicibacterium smegmatis,0
Mycobacterium virus Sirduracell,Temperate,NC_041987,Mycolicibacterium smegmatis,0
Mycobacterium virus Shilan,Temperate,NC_041988,Mycolicibacterium smegmatis,0
Mycobacterium virus Shauna1,Temperate,NC_041989,Mycolicibacterium smegmatis,0
Mycobacterium virus Anaya,Temperate,NC_042031,Mycolicibacterium smegmatis,0
Mycobacterium virus Rockstar,Temperate,NC_042036,Mycolicibacterium smegmatis,0
Mycobacterium virus Pipsqueaks,Temperate,NC_042055,Mycolicibacterium smegmatis,0
Mycobacterium virus Backyardigan,Temperate,NC_042308,Mycolicibacterium smegmatis,0
Mycobacterium virus JHC117,Temperate,NC_042310,Mycolicibacterium smegmatis,0
Mycobacterium virus Microwolf,Temperate,NC_042311,Mycolicibacterium smegmatis,0
Mycobacterium virus George,Temperate,NC_042312,Mycolicibacterium smegmatis,0
Mycobacterium virus Joedirt,Temperate,NC_042313,Mycolicibacterium smegmatis,0
Mycobacterium virus Baka,Temperate,NC_042316,Mycolicibacterium smegmatis,0
Mycobacterium virus Dlane,Temperate,NC_042317,Mycolicibacterium smegmatis,0
Mycobacterium virus Ibhubesi,Temperate,NC_042319,Mycolicibacterium smegmatis,0
Mycobacterium virus JC27,Temperate,NC_042320,Mycolicibacterium smegmatis,0
Mycobacterium virus Lesedi,Temperate,NC_042321,Mycolicibacterium smegmatis,0
Mycobacterium virus Littlee,Temperate,NC_042322,Mycolicibacterium smegmatis,0
Mycobacterium virus Kssjeb,Temperate,NC_042326,Mycolicibacterium smegmatis,0
Mycobacterium virus BBPiebs31,Temperate,NC_042327,Mycolicibacterium smegmatis,0
Mycobacterium virus Heldan,Temperate,NC_042328,Mycolicibacterium smegmatis,0
Mycobacterium virus Benedict,Temperate,NC_042331,Mycolicibacterium smegmatis,0
Mycobacterium virus Jaws,Temperate,NC_042332,Mycolicibacterium smegmatis,0
Mycobacterium virus Cuco,Temperate,NC_042333,Mycolicibacterium smegmatis,0
Mycobacterium virus Dotproduct,Temperate,NC_042336,Mycolicibacterium smegmatis,0
Mycobacterium virus Astro,Temperate,NC_042337,Mycolicibacterium smegmatis,0
Mycobacterium virus Macncheese,Temperate,NC_042338,Mycolicibacterium smegmatis,0
Mycobacterium virus Arturo,Temperate,NC_042339,Mycolicibacterium smegmatis,0
Mycobacterium virus Optimus,Temperate,NC_041844,Mycolicibacterium smegmatis,0
Mycobacterium virus Mutaforma13,Temperate,NC_041847,Mycolicibacterium smegmatis,0
Mycobacterium virus Nepal,Temperate,NC_041852,Mycolicibacterium smegmatis,0
Paenibacillus virus Willow,Temperate,NC_041867,Paenibacillus larvae,0
Propionibacterium virus Anatole,Temperate,NC_041890,Propionibacterium freudenreichii,0
Propionibacterium virus B22,Temperate,NC_041891,Propionibacterium freudenreichii,0
Propionibacterium virus B3,Temperate,NC_041892,Propionibacterium freudenreichii,0
Propionibacterium virus Doucette,Temperate,NC_041893,Propionibacterium freudenreichii,0
Propionibacterium virus E6,Temperate,NC_041894,Propionibacterium freudenreichii,0
Propionibacterium virus G4,Temperate,NC_041895,Propionibacterium freudenreichii,0
Roseobacter virus RDJL2,Temperate,NC_041958,Roseobacter denitrificans,0
Mycobacterium virus Pumpkin,Temperate,NC_042027,Mycolicibacterium smegmatis,0
Mycobacterium virus Yoshi,Temperate,NC_042030,Mycolicibacterium smegmatis,0
Streptomyces virus Aaronocolus,Temperate,NC_042051,Streptomyces griseus,0
Mycobacterium virus Rockyhorror,Temperate,NC_042315,Mycolicibacterium smegmatis,0
Mycobacterium virus Mozy,Temperate,NC_042323,Mycolicibacterium smegmatis,0
Mycobacterium virus Museum,Temperate,NC_042324,Mycolicibacterium smegmatis,0
Mycobacterium virus Pixie,Temperate,NC_042325,Mycolicibacterium smegmatis,0
Mycobacterium virus Mrgordo,Temperate,NC_042329,Mycolicibacterium smegmatis,0
Mycobacterium virus Rebeuca,Temperate,NC_042341,Mycolicibacterium smegmatis,0
Pseudomonas virus H66,Temperate,NC_042342,Pseudomonas aeruginosa,0
Salinibacter virus M8CC19,Temperate,NC_042349,Salinibacter ruber,0
Streptomyces virus ELB20,Temperate,NC_041849,Streptomyces sp.,0
Streptomyces virus Danzina,Temperate,NC_041860,Streptomyces venezuelae,0
Streptomyces virus Hydra,Temperate,NC_042052,Streptomyces griseus,0
Bacillus phage 0305phi8-36,Virulent,NC_009760,Bacillus thuringiensis,1
Klebsiella virus 0507KN21,Virulent,NC_022343,NA,1
Chlamydia virus Chp1,Virulent,NC_001741,Chlamydia psittaci,1
Alphapleolipovirus HRPV1,Virulent,NC_012558,Halorubrum sp. PV6,1
Spiroplasma virus C74,Virulent,NC_003793,Spiroplasma citri,1
Spiroplasma virus R8A2B,Virulent,NC_001365,Spiroplasma citri,1
Vibrio phage 11895-B1,Virulent,NC_020843,NA,1
Pseudomonas virus 119X,Virulent,NC_007807,Pseudomonas aeruginosa,1
Flavobacterium phage 11b,Virulent,NC_006356,Flavobacterium sp.,1
Acinetobacter virus 133,Virulent,NC_015250,Acinetobacter johnsonii,1
Pseudomonas virus 141,Virulent,NC_011703,NA,1
Lactococcus phage 1706,Virulent,NC_010576,Lactococcus lactis,1
Chlamydia virus Chp2,Virulent,NC_002194,Chlamydia psittaci,1
Escherichia virus JES2013,Virulent,NC_022323,Escherichia coli,1
Pseudomonas phage 201phi2-1,Virulent,NC_010821,Pseudomonas chlororaphis,1
Aeromonas virus 25,Virulent,NC_008208,Aeromonas salmonicida,1
Escherichia virus 285P,Virulent,NC_015249,Escherichia coli,1
Aeromonas virus 31,Virulent,NC_007022,Aeromonas salmonicida,1
Lactococcus phage 340,Virulent,NC_021853,Lactococcus cremoris,1
Staphylococcus virus 3a,Virulent,NC_007053,Staphylococcus aureus,1
Spiroplasma virus SpV4,Virulent,NC_003438,Spiroplasma melliferum,1
Chlamydia phage 4,Virulent,NC_007461,Chlamydia abortus,1
Aeromonas virus 44RR2,Virulent,NC_005135,Aeromonas salmonicida,1
Escherichia virus 4MG,Virulent,NC_022968,Escherichia coli,1
Aeromonas virus 65,Virulent,NC_015251,Aeromonas salmonicida,1
Flavobacterium virus 6H,Virulent,NC_021867,Flavobacterium psychrophilum,1
Agrobacterium virus 7-7-1,Virulent,NC_019519,Agrobacterium fabacearum,1
Lactococcus virus 712,Virulent,NC_008370,Lactococcus lactis,1
Pseudomonas virus 73,Virulent,NC_007806,Pseudomonas aeruginosa,1
Streptococcus virus 858,Virulent,NC_010353,Streptococcus thermophilus,1
Prochlorococcus virus 951510a,Virulent,NC_016657,Prochlorococcus marinus,1
Colwellia virus 9A,Virulent,NC_018088,NA,1
Brochothrix virus A9,Virulent,NC_015253,Brochothrix thermosphacta,1
Acinetobacter virus AB3,Virulent,NC_021337,Acinetobacter baumannii,1
Streptococcus virus phiAbc2,Virulent,NC_013645,Streptococcus thermophilus,1
Acinetobacter virus Abp1,Virulent,NC_021316,Acinetobacter baumannii,1
Acinetobacter phage Ac42,Virulent,NC_014660,NA,1
Synechococcus phage ACG-2014c,Virulent,NC_019444,Synechococcus sp. WH 7803,1
Acinetobacter phage Acj61,Virulent,NC_014661,Acinetobacter johnsonii,1
Acinetobacter phage Acj9,Virulent,NC_014663,Acinetobacter johnsonii,1
Mycobacterium virus Adawi,Virulent,NC_022328,Mycolicibacterium smegmatis,1
Escherichia virus ADB2,Virulent,NC_019725,Escherichia coli,1
Aeromonas virus Aes12,Virulent,NC_020879,Aeromonas sp.,1
Aeromonas virus Aes508,Virulent,NC_019543,Aeromonas salmonicida,1
Pseudomonas phage AF,Virulent,NC_019923,Pseudomonas putida,1
Shigella virus AG3,Virulent,NC_013693,Shigella boydii,1
Escherichia virus AKFV33,Virulent,NC_017969,Escherichia coli,1
Escherichia virus alpha3,Virulent,NC_001330,Escherichia coli,1
Streptococcus virus ALQ132,Virulent,NC_013598,Streptococcus thermophilus,1
Bacillus virus Andromeda,Virulent,NC_020478,Bacillus pumilus,1
Acinetobacter virus AP22,Virulent,NC_017984,Acinetobacter baumannii,1
Bacillus virus AP50,Virulent,NC_011523,Bacillus anthracis,1
Lactococcus virus ASCC191,Virulent,NC_017688,Lactococcus lactis,1
Lactococcus phage asccphi28,Virulent,NC_010363,Lactococcus lactis,1
Lactobacillus virus ATCC8014,Virulent,NC_019916,Lactiplantibacillus plantarum,1
Actinomyces virus Av1,Virulent,NC_009643,Actinomyces naeslundii,1
Listeria phage B054,Virulent,NC_009813,Listeria monocytogenes,1
Bacteroides phage B124-14,Virulent,NC_016770,Bacteroides fragilis,1
Bacillus virus B4,Virulent,NC_018863,Bacillus cereus,1
Bacteroides phage B40-8,Virulent,NC_011222,Bacteroides fragilis,1
Thalassomonas phage BA3,Virulent,NC_009990,Thalassotalea loyana,1
Mycobacterium virus Bane1,Virulent,NC_022331,Mycolicibacterium smegmatis,1
Bacillus virus Bastille,Virulent,NC_018856,Bacillus cereus,1
Enterococcus virus BC611,Virulent,NC_018086,Enterococcus faecalis,1
Bacillus phage BCD7,Virulent,NC_019515,Bacillus cereus,1
Burkholderia phage Bcep176,Virulent,NC_007497,Burkholderia cepacia,1
Burkholderia virus Bcep22,Virulent,NC_005262,NA,1
Burkholderia virus BcepF1,Virulent,NC_009015,Burkholderia ambifaria,1
Burkholderia phage BcepGomr,Virulent,NC_009447,Burkholderia cepacia,1
Burkholderia virus BcepNazgul,Virulent,NC_005091,Burkholderia cepacia,1
Burkholderia virus BcepNY3,Virulent,NC_009604,Burkholderia cenocepacia,1
Bacillus virus BCP78,Virulent,NC_018860,Bacillus cereus,1
Pseudomonas virus Bf7,Virulent,NC_016764,Pseudomonas tolaasii,1
Corynebacterium virus BFK20,Virulent,NC_009799,[Brevibacterium] flavum,1
Lactococcus virus Bibb29,Virulent,NC_011046,NA,1
Bacillus virus Bigbertha,Virulent,NC_022769,Bacillus thuringiensis,1
Bacillus virus Blastoid,Virulent,NC_022773,Bacillus pumilus,1
Lactococcus phage BM13,Virulent,NC_021861,Lactococcus lactis,1
Escherichia virus Bp7,Virulent,NC_019500,Escherichia coli,1
Acinetobacter virus B1251,Virulent,NC_019541,Acinetobacter baumannii,1
Bacillus virus BPS13,Virulent,NC_018857,Bacillus cereus,1
Lactobacillus virus c5,Virulent,NC_019449,Lactobacillus delbrueckii,1
Bacillus virus Camphawk,Virulent,NC_022761,Bacillus subtilis,1
Lactococcus virus CB13,Virulent,NC_013155,Lactococcus lactis,1
Lactococcus virus CB14,Virulent,NC_013152,Lactococcus lactis,1
Escherichia virus CBA120,Virulent,NC_016570,Escherichia coli,1
Aeromonas phage CC2,Virulent,NC_019538,Aeromonas hydrophila,1
Escherichia virus CC31,Virulent,NC_014662,Escherichia coli,1
Caulobacter virus CcrColossus,Virulent,NC_019406,Caulobacter vibrioides,1
Salicola phage CGphi29,Virulent,NC_020844,NA,1
Halorubrum phage CGphi46,Virulent,NC_021537,Halorubrum sp.,1
Pseudomonas virus PAKP3,Virulent,NC_022974,Pseudomonas aeruginosa,1
Pediococcus virus cIP1,Virulent,NC_016161,NA,1
Vibrio phage CP-T1,Virulent,NC_019457,Vibrio cholerae,1
Xanthomonas virus CP1,Virulent,NC_019933,Xanthomonas citri,1
Xanthomonas citri phage CP2,Virulent,NC_020205,Xanthomonas citri,1
Campylobacter virus CP220,Virulent,NC_027997,Campylobacter sp.,1
Campylobacter virus CP30A,Virulent,NC_018861,Campylobacter jejuni,1
Chlamydia virus CPAR39,Virulent,NC_002180,Chlamydia pneumoniae,1
Campylobacter virus CPt10,Virulent,NC_027996,NA,1
Campylobacter virus CPX,Virulent,NC_016562,Campylobacter jejuni,1
Cronobacter virus CR3,Virulent,NC_017974,Cronobacter sakazakii,1
Cronobacter phage CR5,Virulent,NC_021531,Cronobacter sakazakii,1
Bacillus virus Curly,Virulent,NC_020479,Bacillus pumilus,1
Salinivibrio phage CW02,Virulent,NC_019540,Salinivibrio costicola,1
Escherichia phage D108,Virulent,NC_013594,Escherichia coli,1
Vibrio phage douglas 12A4,Virulent,NC_021068,Aliivibrio fischeri,1
Streptococcus phage Dp-1,Virulent,NC_015274,Streptococcus pneumoniae,1
Escherichia virus ECBP1,Virulent,NC_018854,Escherichia coli,1
Escherichia virus EcoDS1,Virulent,NC_011042,Escherichia coli,1
Enterobacter phage EcP1,Virulent,NC_019485,Enterobacter cloacae,1
Enterococcus phage EFAP-1,Virulent,NC_012419,Enterococcus faecalis,1
Enterococcus phage EFRM31,Virulent,NC_015270,Enterococcus faecalis,1
Pseudomonas virus EL,Virulent,NC_007623,Pseudomonas aeruginosa,1
Enterobacter phage Enc34,Virulent,NC_019524,Enterobacter cancerogenus,1
Salmonella virus Ent1,Virulent,NC_019539,Salmonella enterica,1
Bacillus virus Eoghan,Virulent,NC_020477,Bacillus pumilus,1
Shigella virus EP23,Virulent,NC_016566,Shigella sonnei,1
Escherichia virus EPS7,Virulent,NC_010583,Escherichia coli,1
Erwinia virus Era103,Virulent,NC_009014,Erwinia amylovora,1
Cronobacter virus Esp2949-1,Virulent,NC_019509,Cronobacter sakazakii,1
Serratia phage Eta,Virulent,NC_021563,Serratia marcescens,1
Pseudomonas virus F8,Virulent,NC_007810,Pseudomonas aeruginosa,1
Bacillus phage Fah,Virulent,NC_007814,Bacillus anthracis,1
Erwinia virus FE44,Virulent,NC_022744,Erwinia sp.,1
Bacillus virus Finn,Virulent,NC_020480,Bacillus pumilus,1
Vibrio virus fs1,Virulent,NC_004306,Vibrio cholerae,1
Vibrio virus fs2,Virulent,NC_001956,Vibrio cholerae,1
Salmonella virus SP31,Virulent,NC_021775,Salmonella enterica,1
Salmonella virus FSL SP-058,Virulent,NC_021772,Salmonella enterica,1
Salmonella virus FSL SP-076,Virulent,NC_021782,Salmonella enterica,1
Salmonella virus FSLSP030,Virulent,NC_021779,Salmonella enterica,1
Salmonella virus FSLSP088,Virulent,NC_021780,Salmonella enterica,1
Bacillus phage Gamma,Virulent,NC_007458,Bacillus cereus,1
Staphylococcus virus G15,Virulent,NC_019448,Staphylococcus aureus,1
Bacillus virus Glittering,Virulent,NC_022766,Bacillus pumilus,1
Marine gokushovirus,Virulent,NC_022790,NA,1
Bacillus virus Grass,Virulent,NC_022771,Bacillus subtilis,1
Pseudoalteromonas phage H105/1,Virulent,NC_015293,Pseudoalteromonas sp. H105,1
Vibrio phage helene 12B3,Virulent,NC_021067,Vibrio splendidus,1
Vibrio phage henriette 12B8,Virulent,NC_021073,Vibrio splendidus,1
Escherichia virus HK578,Virulent,NC_019724,Escherichia coli,1
Pelagibacter phage HTVC008M,Virulent,NC_020484,Candidatus Pelagibacter ubique,1
Pelagibacter phage HTVC010P,Virulent,NC_020481,Candidatus Pelagibacter ubique,1
Escherichia virus HX01,Virulent,NC_018855,Escherichia coli,1
Escherichia virus I22,Virulent,NC_001332,Escherichia coli,1
Salisaeta icosahedral phage 1,Virulent,NC_017983,Salisaeta sp. SP9-1,1
Vibrio phage ICP1,Virulent,NC_015157,Vibrio cholerae,1
Vibrio phage ICP2,Virulent,NC_015158,Vibrio cholerae,1
Vibrio virus ICP3,Virulent,NC_015159,Vibrio cholerae,1
Escherichia virus G4,Virulent,NC_007856,Escherichia coli,1
Escherichia virus Talmos,Virulent,NC_007817,Escherichia coli,1
Bacillus virus IEBH,Virulent,NC_011167,Bacillus thuringiensis,1
Salmonella virus iEPS5,Virulent,NC_021783,Salmonella enterica,1
Escherichia virus If1,Virulent,NC_001954,Escherichia coli,1
Escherichia virus IME08,Virulent,NC_014260,Escherichia coli,1
Escherichia virus Ime09,Virulent,NC_019503,Escherichia coli,1
Escherichia virus IME11,Virulent,NC_019423,Escherichia coli,1
Stenotrophomonas virus IME15,Virulent,NC_019416,Stenotrophomonas maltophilia,1
Vibrio phage JA-1,Virulent,NC_021540,Vibrio cholerae,1
Pseudomonas phage JBD24,Virulent,NC_020203,Pseudomonas aeruginosa,1
Pseudomonas phage JBD30,Virulent,NC_020198,Pseudomonas aeruginosa,1
Pseudomonas phage JBD5,Virulent,NC_020202,Pseudomonas aeruginosa,1
Pseudomonas phage JBD88a,Virulent,NC_020200,Pseudomonas aeruginosa,1
Klebsiella virus JD001,Virulent,NC_020204,Klebsiella pneumoniae,1
Staphylococcus virus JD7,Virulent,NC_019726,Staphylococcus aureus,1
Salmonella virus Jersey,Virulent,NC_021777,NA,1
Pseudomonas virus JG004,Virulent,NC_019450,Pseudomonas aeruginosa,1
Pseudomonas virus JG024,Virulent,NC_017674,Pseudomonas aeruginosa,1
Burkholderia virus JG068,Virulent,NC_022916,Burkholderia cenocepacia,1
Lactococcus virus jj50,Virulent,NC_008371,Lactococcus lactis,1
Escherichia virus KP26,Virulent,NC_007291,Salmonella enterica,1
Escherichia virus JL1,Virulent,NC_019419,Escherichia coli,1
Halocynthia phage JM-2012,Virulent,NC_017975,NA,1
Lactococcus phage jm2,Virulent,NC_021860,Lactococcus cremoris,1
Lactococcus phage jm3,Virulent,NC_021854,Lactococcus cremoris,1
Staphylococcus virus K,Virulent,NC_005880,Staphylococcus aureus,1
Escherichia virus K1-5,Virulent,NC_008152,Escherichia coli,1
Escherichia virus K1E,Virulent,NC_007637,Escherichia coli,1
Escherichia virus K1F,Virulent,NC_007456,Escherichia coli,1
Escherichia virus K30,Virulent,NC_015719,NA,1
Caulobacter virus Karma,Virulent,NC_019410,Caulobacter vibrioides,1
Cyanophage KBS-P-1A,Virulent,NC_020865,Synechococcus sp. WH 7803,1
Cyanophage KBS-S-2A,Virulent,NC_020854,Synechococcus sp. WH 7803,1
Edwardsiella virus KF1,Virulent,NC_019420,Edwardsiella tarda,1
Burkholderia virus KL1,Virulent,NC_018278,Burkholderia cenocepacia,1
Klebsiella virus KP15,Virulent,NC_014036,Klebsiella pneumoniae,1
Klebsiella virus KP27,Virulent,NC_020080,Klebsiella pneumoniae,1
Klebsiella virus KP32,Virulent,NC_013647,Klebsiella pneumoniae,1
Klebsiella virus KP34,Virulent,NC_013649,Klebsiella pneumoniae,1
Pseudomonas virus KPP10,Virulent,NC_015272,Pseudomonas aeruginosa,1
Pseudomonas virus KPP12,Virulent,NC_019935,Pseudomonas aeruginosa,1
Burkholderia phage KS10,Virulent,NC_011216,Burkholderia cenocepacia,1
Vibrio virus KSF1,Virulent,NC_006294,Vibrio cholerae,1
Lactococcus virus KSY1,Virulent,NC_009817,Lactococcus lactis,1
Salmonella virus L13,Virulent,NC_021317,Salmonella enterica,1
Lactobacillus virus Lb338-1,Virulent,NC_012530,Lacticaseibacillus paracasei,1
Pseudomonas virus LBL3,Virulent,NC_011165,Pseudomonas aeruginosa,1
Lactobacillus phage Lc-Nu,Virulent,NC_007501,Lacticaseibacillus rhamnosus,1
Pantoea virus Limelight,Virulent,NC_019454,Pantoea agglomerans,1
Dickeya virus Limestone,Virulent,NC_019925,Dickeya solani,1
Pantoea virus Limezero,Virulent,NC_015585,Pantoea agglomerans,1
Pseudomonas virus LIT1,Virulent,NC_013692,Pseudomonas aeruginosa,1
Pseudomonas virus LKA1,Virulent,NC_009936,Pseudomonas aeruginosa,1
Pseudomonas virus LKD16,Virulent,NC_009935,Pseudomonas aeruginosa,1
Lactobacillus phage LL-H,Virulent,NC_009554,Lactobacillus delbrueckii,1
Lactobacillus virus LLKu,Virulent,NC_022989,Lactobacillus delbrueckii,1
Pseudomonas virus LMA2,Virulent,NC_011166,Pseudomonas aeruginosa,1
Leuconostoc virus Lmd1,Virulent,NC_018273,Leuconostoc mesenteroides,1
Listeria virus LP37,Virulent,NC_021787,Listeria monocytogenes,1
Listeria virus LP110,Virulent,NC_021785,Listeria monocytogenes,1
Listeria virus LP083-2,Virulent,NC_021781,Listeria monocytogenes,1
Pseudomonas virus LPB1,Virulent,NC_027298,Pseudomonas aeruginosa,1
Pseudomonas phage Lu11,Virulent,NC_017972,Pseudomonas putida,1
Pseudomonas virus LUZ19,Virulent,NC_010326,Pseudomonas aeruginosa,1
Pseudomonas virus LUZ7,Virulent,NC_013691,Pseudomonas aeruginosa,1
Escherichia phage Lw1,Virulent,NC_021344,Escherichia coli,1
Streptococcus phage M102,Virulent,NC_012884,Streptococcus mutans,1
Escherichia virus M13,Virulent,NC_003287,Escherichia coli,1
Caulobacter virus Magneto,Virulent,NC_019407,Caulobacter vibrioides,1
Salmonella virus Marshall,Virulent,NC_022772,Salmonella enterica,1
Vibrio phage martha 12B12,Virulent,NC_021070,Vibrio splendidus,1
Cyanophage MED4-117,Virulent,NC_020857,NA,1
Prochlorococcus phage MED4-184,Virulent,NC_020847,NA,1
Prochlorococcus virus MED4-213,Virulent,NC_020845,NA,1
Synechococcus phage metaG-MbCM1,Virulent,NC_019443,NA,1
Bacillus phage MG-B1,Virulent,NC_021336,Bacillus mycoides,1
Morganella virus MmP1,Virulent,NC_011085,Morganella morganii,1
Pseudomonas virus MP22,Virulent,NC_009818,Pseudomonas aeruginosa,1
Pseudomonas phage MP42,Virulent,NC_018274,Pseudomonas aeruginosa,1
Pseudomonas virus MPK6,Virulent,NC_022746,Pseudomonas aeruginosa,1
Pseudomonas virus MPK7,Virulent,NC_022091,Pseudomonas aeruginosa,1
Edwardsiella virus MSW3,Virulent,NC_020082,Edwardsiella tarda,1
Acholeplasma virus L51,Virulent,NC_001341,Acholeplasma laidlawii,1
Pectobacterium virus My1,Virulent,NC_018837,Pectobacterium carotovorum,1
Vibrio virus N4,Virulent,NC_013651,Vibrio cholerae,1
Prochlorococcus virus NATL1A7,Virulent,NC_016658,Prochlorococcus marinus,1
Prochlorococcus virus NATL2A133,Virulent,NC_016659,Prochlorococcus marinus,1
Nocardia phage NBR1,Virulent,NC_016569,Nocardia brasiliensis,1
Campylobacter virus NCTC12673,Virulent,NC_015464,Campylobacter jejuni,1
Pseudomonas virus NH4,Virulent,NC_019451,Pseudomonas aeruginosa,1
Vibrio virus nt1,Virulent,NC_021529,Vibrio natriegens,1
Pseudomonas phage OBP,Virulent,NC_016571,Pseudomonas fluorescens,1
Xanthomonas virus OP1,Virulent,NC_007709,NA,1
Xanthomonas virus OP2,Virulent,NC_007710,NA,1
Prochlorococcus virus PGSP1,Virulent,NC_020878,Prochlorococcus marinus,1
Prochlorococcus phage P-HM1,Virulent,NC_015280,Prochlorococcus marinus,1
Prochlorococcus phage P-HM2,Virulent,NC_015284,Prochlorococcus marinus,1
Cyanophage P-RSM1,Virulent,NC_021071,Prochlorococcus marinus,1
Prochlorococcus phage P-RSM4,Virulent,NC_015283,Prochlorococcus marinus,1
Cyanophage P-RSM6,Virulent,NC_020855,Prochlorococcus marinus,1
Prochlorococcus phage P-SSM3,Virulent,NC_021559,Prochlorococcus marinus,1
Prochlorococcus virus PSSM7,Virulent,NC_015290,Prochlorococcus marinus,1
Prochlorococcus virus PSSP10,Virulent,NC_020835,Prochlorococcus marinus,1
Synechococcus virus PSSP2,Virulent,NC_016656,Synechococcus sp. WH 8017,1
Lactococcus virus P008,Virulent,NC_008363,Lactococcus lactis,1
Lactococcus phage P087,Virulent,NC_012663,Lactococcus lactis,1
Escherichia virus P1,Virulent,NC_005856,NA,1
Nonlabens virus P12024L,Virulent,NC_018272,NA,1
Nonlabens virus P12024L,Virulent,NC_018271,NA,1
Marinomonas phage P12026,Virulent,NC_018269,NA,1
Celeribacter phage P12053L,Virulent,NC_018280,Celeribacter marinus,1
Ralstonia phage p12J,Virulent,NC_005131,Ralstonia pickettii,1
Croceibacter phage P2559S,Virulent,NC_018276,Croceibacter atlanticus,1
Listeria phage P35,Virulent,NC_009814,Listeria monocytogenes,1
Listeria phage P40,Virulent,NC_011308,NA,1
Lactococcus phage P680,Virulent,NC_021852,Lactococcus lactis,1
Listeria virus P70,Virulent,NC_018831,Listeria sp.,1
Leuconostoc virus P793,Virulent,NC_020880,Leuconostoc pseudomesenteroides,1
Pseudomonas phage PA11,Virulent,NC_007808,Pseudomonas aeruginosa,1
Pseudomonas virus PaBG,Virulent,NC_022096,Pseudomonas aeruginosa,1
Pseudomonas virus PAKP1,Virulent,NC_015294,Pseudomonas aeruginosa,1
Pseudomonas virus PAKP2,Virulent,NC_022967,Pseudomonas aeruginosa,1
Pseudomonas virus PAKP3,Virulent,NC_022970,Pseudomonas aeruginosa,1
Pseudomonas virus PAKP4,Virulent,NC_022986,Pseudomonas aeruginosa,1
Pseudomonas virus PAKP3,Virulent,NC_022966,Pseudomonas aeruginosa,1
Pseudomonas virus PaP1,Virulent,NC_019913,Pseudomonas aeruginosa,1
Pseudomonas phage PaP2,Virulent,NC_005884,Pseudomonas aeruginosa,1
Pseudomonas virus PaP3,Virulent,NC_004466,NA,1
Sphingomonas phage PAU,Virulent,NC_019521,Sphingomonas paucimobilis,1
Xylella phage Paz,Virulent,NC_022982,Xylella fastidiosa,1
Pseudomonas virus PB1,Virulent,NC_011810,Pseudomonas aeruginosa,1
Bacillus phage PBC1,Virulent,NC_017976,Bacillus cereus,1
Loktanella phage pCB2051-A,Virulent,NC_020853,NA,1
Ralstonia virus PE226,Virulent,NC_015297,Ralstonia solanacearum,1
Edwardsiella virus PEi21,Virulent,NC_021342,Edwardsiella ictaluri,1
Phormidium virus WMP3,Virulent,NC_009551,Leptolyngbya foveolarum,1
Phormidium virus WMP4,Virulent,NC_008367,NA,1
Paenibacillus phage PG1,Virulent,NC_021558,Paenibacillus glucanolyticus,1
Escherichia virus phAPEC8,Virulent,NC_020079,Escherichia coli,1
Escherichia virus PhaxI,Virulent,NC_019452,Escherichia coli,1
Pseudomonas virus f2,Virulent,NC_013638,Pseudomonas fluorescens,1
Microviridae phi-CA82,Virulent,NC_015785,NA,1
Pseudomonas virus PhiS1,Virulent,NC_021062,Pseudomonas fluorescens,1
Cellulophaga phage phi10:1,Virulent,NC_021802,Cellulophaga baltica,1
Cellulophaga virus Cba121,Virulent,NC_021791,Cellulophaga baltica,1
Cellulophaga phage phi12:2,Virulent,NC_021797,Cellulophaga baltica,1
Cellulophaga phage phi12a:1,Virulent,NC_021805,Cellulophaga baltica,1
Cellulophaga phage phi13:2,Virulent,NC_021803,Cellulophaga baltica,1
Cellulophaga phage phi14:2,Virulent,NC_021806,Cellulophaga baltica,1
Bdellovibrio phage phi1402,Virulent,NC_015721,Bdellovibrio bacteriovorus,1
Bdellovibrio phage phi1422,Virulent,NC_019525,Bdellovibrio bacteriovorus,1
Pseudomonas virus Phi15,Virulent,NC_015208,Pseudomonas putida,1
Cellulophaga virus Cba171,Virulent,NC_021795,Cellulophaga baltica,1
Cellulophaga virus Cba172,Virulent,NC_021798,Cellulophaga baltica,1
Cellulophaga virus Cba181,Virulent,NC_021790,Cellulophaga baltica,1
Cellulophaga phage phi18:3,Virulent,NC_021794,Cellulophaga baltica,1
Cellulophaga phage phi19:1,Virulent,NC_021799,Cellulophaga baltica,1
Cellulophaga phage phi19:3,Virulent,NC_021789,Cellulophaga baltica,1
Clostridium phage phi24R,Virulent,NC_019523,Clostridium perfringens,1
Bacillus virus phi29,Virulent,NC_011048,Bacillus subtilis,1
Cellulophaga phage phi38:1,Virulent,NC_021796,Cellulophaga baltica,1
